RTD temps,REF_temp,Time
"[31.4071, 31.3638, 31.492, 31.4097, 31.3728, 31.3973, 31.4347]",30.565,953.0006010532379
"[31.4102, 31.3657, 31.4952, 31.4105, 31.3754, 31.3973, 31.4384]",30.567,957.9467060565948
"[31.4112, 31.3679, 31.496, 31.4141, 31.378, 31.3993, 31.4403]",30.569,962.8988101482391
"[31.4142, 31.3706, 31.5005, 31.4138, 31.3799, 31.4022, 31.442]",30.571,967.8539152145386
"[31.4167, 31.3723, 31.5013, 31.4182, 31.3819, 31.4036, 31.4436]",30.574,972.8206007480621
"[31.4183, 31.3756, 31.5034, 31.4203, 31.3843, 31.4072, 31.4485]",30.575,977.7937047481537
"[31.4205, 31.3775, 31.5075, 31.4207, 31.3868, 31.4091, 31.4493]",30.577,982.7378053665161
"[31.4246, 31.3796, 31.5086, 31.4258, 31.3903, 31.4121, 31.4518]",30.579,987.7229149341583
"[31.4262, 31.3823, 31.5111, 31.4275, 31.3916, 31.414, 31.4534]",30.587,992.6740183830261
"[31.4286, 31.3843, 31.5135, 31.4305, 31.3931, 31.4168, 31.4562]",30.588,997.6321220397949
"[31.4308, 31.3862, 31.5162, 31.4327, 31.3968, 31.4191, 31.4594]",30.588,1002.579231262207
"[31.4341, 31.3891, 31.5186, 31.4343, 31.3984, 31.4213, 31.4603]",30.59,1007.5588326454163
"[31.4355, 31.3918, 31.5203, 31.4362, 31.4014, 31.4232, 31.463]",30.593,1012.524932384491
"[31.4372, 31.3954, 31.5228, 31.4409, 31.4033, 31.4252, 31.4639]",30.595,1017.4710607528687
"[31.4407, 31.3956, 31.5266, 31.4421, 31.4059, 31.4282, 31.4695]",30.598,1022.4462122917175
"[31.4428, 31.3987, 31.5269, 31.444, 31.4096, 31.4311, 31.472]",30.6,1027.4044408798218
"[31.4451, 31.402, 31.532, 31.4471, 31.411, 31.4331, 31.4726]",30.601,1032.3725926876068
"[31.4469, 31.4027, 31.5337, 31.4518, 31.4134, 31.4353, 31.476]",30.604,1037.3397431373596
"[31.4499, 31.4061, 31.5367, 31.4512, 31.4159, 31.4379, 31.4778]",30.606,1042.2918946743011
"[31.4522, 31.4096, 31.538, 31.4547, 31.4169, 31.4404, 31.4813]",30.612,1047.2430970668793
"[31.4537, 31.4104, 31.5392, 31.456, 31.4211, 31.4429, 31.4831]",30.614,1054.526400089264
"[31.4578, 31.4152, 31.5427, 31.4594, 31.4251, 31.4459, 31.4865]",30.616,1061.8046340942383
"[31.4601, 31.4163, 31.5462, 31.4635, 31.4262, 31.4489, 31.4892]",30.618,1066.7668614387512
"[31.4636, 31.4201, 31.55, 31.4646, 31.429, 31.451, 31.4921]",30.624,1071.7250862121582
"[31.4649, 31.4231, 31.5511, 31.4683, 31.432, 31.4552, 31.4943]",30.624,1076.689236164093
"[31.4673, 31.4246, 31.5543, 31.471, 31.4342, 31.4574, 31.4966]",30.625,1081.6374599933624
"[31.471, 31.4269, 31.5557, 31.473, 31.4376, 31.4608, 31.4995]",30.628,1086.5996119976044
"[31.4722, 31.4295, 31.5579, 31.4744, 31.4385, 31.4611, 31.5011]",30.63,1091.5737688541412
"[31.4752, 31.4318, 31.561, 31.4771, 31.4418, 31.4623, 31.5052]",30.633,1096.552987575531
"[31.478, 31.4352, 31.5631, 31.4789, 31.4428, 31.4658, 31.506]",30.634,1101.5141434669495
"[31.4793, 31.4354, 31.5656, 31.4825, 31.4462, 31.469, 31.5096]",30.637,1106.4683701992035
"[31.4824, 31.439, 31.5675, 31.4845, 31.4492, 31.4707, 31.5115]",30.639,1111.4475235939026
"[31.4851, 31.4412, 31.5705, 31.4864, 31.4504, 31.4717, 31.5139]",30.641,1116.3967559337616
"[31.4879, 31.4438, 31.5724, 31.4877, 31.4529, 31.4759, 31.5159]",30.644,1121.3489055633545
"[31.4911, 31.4458, 31.574, 31.4916, 31.4549, 31.4788, 31.518]",30.646,1126.349130153656
"[31.4921, 31.4482, 31.577, 31.494, 31.4568, 31.4796, 31.5205]",30.649,1131.3172826766968
"[31.4944, 31.4506, 31.5789, 31.4977, 31.4595, 31.4814, 31.5238]",30.651,1136.249478340149
"[31.4955, 31.4526, 31.5827, 31.497, 31.4614, 31.4856, 31.5244]",30.653,1141.2091553211212
"[31.499, 31.4556, 31.5846, 31.5002, 31.4638, 31.4868, 31.5263]",30.655,1146.1513276100159
"[31.5017, 31.458, 31.5871, 31.5029, 31.466, 31.4909, 31.5289]",30.657,1151.133529663086
"[31.5047, 31.4607, 31.59, 31.5055, 31.4698, 31.493, 31.5319]",30.66,1156.0946877002716
"[31.505, 31.4616, 31.5923, 31.5082, 31.4711, 31.4952, 31.5349]",30.662,1161.0499136447906
"[31.5085, 31.4642, 31.5941, 31.5115, 31.4747, 31.4965, 31.5371]",30.665,1166.070067167282
"[31.5102, 31.4678, 31.595, 31.5128, 31.4749, 31.5006, 31.5407]",30.668,1173.3523607254028
"[31.5135, 31.4694, 31.5985, 31.5163, 31.4798, 31.5023, 31.5431]",30.67,1178.3225133419037
"[31.517, 31.4717, 31.6018, 31.5185, 31.4813, 31.5051, 31.5448]",30.672,1183.2507350444794
"[31.5184, 31.4751, 31.6053, 31.5199, 31.4845, 31.5089, 31.5477]",30.674,1188.222885131836
"[31.5219, 31.4762, 31.607, 31.522, 31.4873, 31.5105, 31.5489]",30.676,1193.1840348243713
"[31.5249, 31.4787, 31.6086, 31.5243, 31.4884, 31.513, 31.5534]",30.679,1198.1372578144073
"[31.5249, 31.4841, 31.6122, 31.5283, 31.493, 31.5151, 31.5554]",30.682,1203.118409395218
"[31.5292, 31.485, 31.614, 31.5305, 31.4935, 31.5173, 31.5578]",30.684,1208.0910634994507
